Year,Quarter,avg_Close
2020,3,16.9349362552166
2024,3,43.72580277919769
2022,2,39.226578497117565
2022,3,34.23342174291611
2024,2,47.0983515542651
2023,3,55.746014367966424
2023,2,45.60234648181546
2020,4,17.305005356669426
2023,4,52.46532997252449
2021,3,26.637318402528763
2021,2,28.453633747403583
2024,1,49.00227587340308
2020,1,25.90806208887408
2022,1,36.778632071710405
2021,1,24.2893645177122
2025,1,40.83830398168319
2020,2,15.854010763622465
2024,4,41.50260633230209
2022,4,47.20831637912326
2021,4,29.415187895298004
2023,1,50.60505116370417
