countryName,movieTitle,genres
Afghanistan,Osama,Drama
Argentina,Live-In Maid,Drama
Argentina,Nine Queens,"Thriller, Drama, Crime"
Argentina,The Holy Girl,Drama
Argentina,The Secret in Their Eyes,"Thriller, Mystery, Drama"
Aruba,Knock Off,"Action, Thriller, Comedy"
Australia,Adore,"Romance, Drama"
Australia,Australia,"Adventure, Romance, Drama, War"
Australia,Babe,"Comedy, Family, Drama"
Australia,Babe: Pig in the City,"Adventure, Fantasy, Comedy, Family, Drama"
Australia,Bait,"Action, Sci-Fi, Horror"
Australia,Beneath Hill 60,"Drama, History, War"
Australia,Bran Nue Dae,"Comedy, Musical, Drama"
Australia,Critical Care,"Comedy, Drama"
Australia,Crocodile Dundee,"Adventure, Comedy"
Australia,Crocodile Dundee II,"Action, Adventure, Comedy"
Australia,Crocodile Dundee in Los Angeles,"Adventure, Comedy, Crime"
Australia,Dark City,"Action, Fantasy, Sci-Fi, Thriller, Mystery, Drama"
Australia,Daybreakers,"Action, Sci-Fi, Thriller, Horror"
Australia,Deadline Gallipoli,"Drama, War"
Australia,Disturbing Behavior,"Sci-Fi, Thriller, Mystery, Horror"
Australia,"Fat, Sick & Nearly Dead",Documentary
Australia,Fortress,"Action, Sci-Fi, Thriller, Crime"
Australia,Griff the Invisible,"Sci-Fi, Romance, Comedy, Drama"
Australia,Happy Feet 2,"Animation, Comedy, Family, Musical"
Australia,House of Wax,Horror
Australia,"I, Frankenstein","Action, Fantasy, Sci-Fi, Thriller"
Australia,In the Cut,"Thriller, Mystery"
Australia,Jindabyne,"Thriller, Mystery, Drama, Crime"
Australia,Lake Mungo,"Thriller, Mystery, Drama, Horror"
Australia,Love and Other Catastrophes,"Romance, Comedy"
Australia,Mad Max,"Action, Adventure, Sci-Fi, Thriller"
Australia,Mad Max 2: The Road Warrior,"Action, Adventure, Sci-Fi, Thriller"
Australia,Mad Max Beyond Thunderdome,"Action, Adventure, Sci-Fi, Thriller"
Australia,Mad Max: Fury Road,"Action, Adventure, Sci-Fi, Thriller"
Australia,Mao's Last Dancer,"Romance, Drama, Biography, Music"
Australia,Opal Dream,"Family, Drama"
Australia,Psycho Beach Party,"Comedy, Mystery, Horror"
Australia,Quigley Down Under,"Action, Adventure, Romance, Western, Drama"
Australia,Rabbit-Proof Fence,"Adventure, Drama, History, Biography"
Australia,Red Dog,"Romance, Comedy, Family, Drama, Biography"
Australia,Shine,"Romance, Drama, Biography, Music"
